stt,sample_id,ngu_canh,phat_bieu,nhan_dinh,ghi_chu
32,viwikifc_train_16729,"Làng Sen, quê nội của Hồ Chí Minh, tên chữ là Kim Liên (bông sen vàng). Làng có nhiều hồ thả sen suốt hai bên đường làng. Ngôi nhà của Hồ Chí Minh sống thuở nhỏ dựng bằng tre và gỗ, 5 gian, lợp tranh. Trong nhà có những đồ dùng giống như các gia đình nông dân: phản gỗ, chõng tre, cái võng gai, bàn thờ... Nhà được dựng năm 1901 do công sức và tiền của dân làng góp lại làm tặng ông Nguyễn Sinh Sắc, cha của Hồ Chí Minh khi ông Sắc đỗ Phó Bảng đem lại vinh dự cho cả làng.",Hồ Chí Minh (1890-1969) là một trong những nhân vật lịch sử quan trọng của Việt Nam.,ngoai_lai,
33,viwikifc_test_1668,"Vào những năm 1970, Tổ chức Y tế Thế giới đã định nghĩa đột quỵ là ""tình trạng thiếu hụt thần kinh do mạch máu não gây ra kéo dài hơn 24 giờ hoặc bị gián đoạn do tử vong trong vòng 24 giờ"", mặc dù từ ""đột quỵ"" đã có từ nhiều thế kỷ trước. Định nghĩa này được cho là để phản ánh khả năng hồi phục của tổn thương mô và được đưa ra nhằm mục đích, với khung thời gian 24 giờ được chọn tùy ý. Giới hạn 24 giờ phân chia đột quỵ với cơn thiếu máu cục bộ thoáng qua, là một hội chứng liên quan đến các triệu chứng đột quỵ sẽ giải quyết hoàn toàn trong vòng 24 giờ. Với sự sẵn có của các phương pháp điều trị có thể làm giảm mức độ nghiêm trọng của đột quỵ khi được đưa ra sớm, nhiều người hiện nay ưa thích các thuật ngữ thay thế, chẳng hạn như đau não và hội chứng mạch máu não thiếu máu cục bộ cấp tính (mô phỏng theo cơn đau tim và hội chứng mạch vành cấp, tương ứng), để phản ánh mức độ khẩn cấp của các triệu chứng đột quỵ và nhu cầu hành động nhanh chóng.",Cơn thiếu máu cục bộ thoáng qua trong sự phân chia đột quỵ giới hạn 24 giờ chính là hội chứng nguy hiểm và kinh khủng nhất đối với các bệnh nhân liên quan đến triệu chứng đột quy giải quyết trong vòng 24 giờ.,ngoai_lai,
34,viwikifc_train_5718,"Lễ hội Rước cộ Bà Chợ Được được tổ chức hằng năm vào ngày 11 tháng Giêng (âm lịch) tại xã Bình Triều, huyện Thăng Bình. Đây là một kiểu lễ hội tâm linh để tỏ lòng tôn kính với bà Nguyễn Thị Của. Theo tài liệu ""Thần Nữ Linh Ứng Truyện"", bà sinh năm 1799 tại huyện Đại Lộc, tỉnh Quảng Nam. Bà mất năm 1817, hưởng dương 18 tuổi. Theo cư dân địa phương, bà rất linh thiêng. Trong một lần ngao du đến làng Phước Ấm (nay là Chợ Được, xã Bình Triều), thấy cảnh sông nước hữu tình, bà chọn nơi này họp chợ để giúp cư dân có cuộc sống sung túc hơn. Bà hóa thân thành một thiếu nữ xinh đẹp chừng 18 tuổi làm nghề bán nước đổi trầu. Dần dần cư dân xung quanh tập trung buôn bán, Chợ Được được hình thành và phát triển. Để ghi nhớ công ơn bà, cư dân trong vùng lập đền thờ ""Lăng Bà"" và được triều đình phong tặng sắc phong ""Thần Nữ Linh Ứng-Nguyễn Thị Đẳng Thần"".","Theo tài liệu ""Thần Nữ Linh Ứng Truyện"", bà sinh năm 1799 và mất năm 1817, hưởng dương 18 tuổi",khong,
35,viwikifc_train_12557,"Do quỹ đạo Mặt Trăng nghiêng so với hoàng đạo nên Mặt Trời, Trái Đất và Mặt Trăng chỉ thực sự có thể nằm trên cùng một đường thẳng khi Mặt Trăng ở một trong hai giao điểm thăng hay giáng này. Khi điều đó xảy ra thì nhật thực hay nguyệt thực mới có thể xảy ra. Do La Hầu và Kế Đô (Rahu và Ketu trong thần thoại Hindu, được người ta cho là sống tại các giao điểm này và nuốt Mặt Trăng hay Mặt Trời khi xảy ra hiện tượng thực) có hình tượng là những vị thần hình dạng rồng/rắn nên trong một số ngôn ngữ, như tiếng Anh, tháng giao điểm thăng này được gọi là ""draconic month"", nghĩa là tháng rồng, là sự liên hệ với vị thần rồng huyền thoại này.","La Hầu và Kế Đô là hai giao điểm cắt quỹ đạo Mặt Trăng với hoàng đạo, có hình tượng là những vị thần hình dạng rồng/rắn nên trong một số ngôn ngữ, như tiếng Anh, tháng giao điểm thăng này được gọi là ""draconic month"", nghĩa là tháng rồng, là sự liên hệ với vị thần rồng huyền thoại này.",noi_tai,
36,viwikifc_train_8882,"Năm Ất Dậu (1825), ông được sung làm Phó sứ sang Trung Quốc. Khi về, được làm Phủ thừa phủ Thừa Thiên, rồi thăng Hiệp trấn Quảng Nam (1829). Ít lâu sau, ông bị giáng vì phạm lỗi, được điều động về Huế giữ chức Thị độc ở Viện Hàn lâm.","Nhờ vào tài giỏi, ra sức cống hiến cho triều đình mà ông được điều động về Huế giữ chức Thị độc ở Viện Hàn Lâm.",ngoai_lai,
37,viwikifc_test_432,"Năm 1938: Pháp cho đặt bia đá, xây hải đăng, đài khí tượng và đưa đội biên phòng người Việt ra để bảo vệ đảo Hoàng Sa của quần đảo Hoàng Sa. Bia khắc dòng chữ: ""République française- Royaume d’Annam- Archipels des Paracels 1816-Île de Pattle 1938"". tái khẳng định chủ quyền Việt Nam từ thời Gia Long. Ngày 30 tháng 3 năm 1938, Hoàng đế Đại Nam Bảo Đại ra Dụ số 10 phê chuẩn về việc tách quần đảo Hoàng Sa khỏi địa hạt tỉnh Nam Ngãi, đặt vào tỉnh Thừa Thiên. Đạo dụ ghi rõ: ""Các cù lao Hoàng Sa thuộc về chủ quyền nước Nam đã lâu đời và dưới các tiền triều, các cù lao ấy thuộc về địa hạt tỉnh Nam - Ngãi. Nay nhập các cù lao Hoàng Sa vào địa hạt tỉnh Thừa Thiên"". Ngày 15 tháng 6, Toàn quyền Đông Dương Jules Brévié đưa ra Nghị định thành lập một đại lý hành chính trên quần đảo Hoàng Sa.",Thừa Thiên là tỉnh lớn nhất ở Việt Nam.,ngoai_lai,
38,viwikifc_train_11979,"Tiểu lục địa Ấn Độ là nơi khởi nguồn của nền văn minh lưu vực sông Ấn cổ đại, sớm hình thành nên các tuyến đường mậu dịch mang tính quốc tế cùng những Đế quốc rộng lớn, các Đế quốc này trở nên giàu có, thịnh vượng do thương mại cùng sức mạnh văn hóa - quân sự mang lại trong suốt chiều dài lịch sử của mình. Đây cũng là nơi khởi nguồn của 4 tôn giáo lớn trên thế giới bao gồm: Ấn Độ giáo, Phật giáo, Jaina giáo và Sikh giáo; trong khi Do Thái giáo, Hỏa giáo, Cơ Đốc giáo và Hồi giáo được truyền đến vào thiên niên kỷ thứ nhất sau Công nguyên - hình thành một nền văn hóa đa dạng bản sắc trong khu vực. Sang đến thời kỳ cận đại, khu vực Ấn Độ dần bị thôn tính và chuyển sang nằm dưới quyền quản lý của Công ty Đông Ấn Anh từ đầu thế kỷ XVIII, rồi cuối cùng nằm dưới quyền quản lý trực tiếp của Đế quốc Anh từ giữa thế kỷ XIX. Ấn Độ trở thành một quốc gia độc lập vào năm 1947 sau một cuộc đấu tranh giành độc lập dưới hình thức đấu tranh bất bạo động do lãnh tụ Mahatma Gandhi lãnh đạo.","Cuộc đấu tranh giành độc lập của Ấn Độ được lãnh đạo bởi Mahatma Gandhi, ông đã sử dụng phương pháp đấu tranh bất bạo động.",khong,
39,viwikifc_train_9691,"Động từ tiếng Anh được chia theo thì và thể, và hợp (agreement) với đại từ ngôi số ba số ít. Chỉ động từ to be vẫn phải hợp với đại từ ngôi thứ nhất và thứ hai số nhiều. Trợ động từ như have và be đi kèm với động từ ở dạng hoàn thành và tiếp diễn. Trợ động từ khác với động từ thường ở chỗ từ not (chỉ sự phủ định) có thể đi ngay sau chúng (ví dụ, have not và do not), và chúng có thể đứng đầu trong câu nghi vấn.","Các nước Châu Âu và Mỹ sử dụng trợ động từ have, be để đi kèm với động từ ở dạng hoàn thành và tiếp diễn.",ngoai_lai,
40,viwikifc_dev_1595,"Đến thế kỷ 10, nhà Đường bị lật đổ, Con đường tơ lụa cũng bị suy thoái dần. Tuy nhiên với sự hùng mạnh của đế quốc Nguyên Mông, công việc buôn bán sau đó lại thịnh vượng. Dưới triều Nguyên, một người Ý nổi tiếng là Marco Polo (1254-1324) đã lưu lạc đến Trung Quốc và làm quan ở đây 20 năm, sau đó ông trở về nước bằng Con đường tơ lụa. Ông cũng là người có đóng góp cho sự phát triển của mối giao thương Đông - Tây khi viết nên cuốn sách Marco Polo du ký (tiếng Ý: Il Milione) kể về toàn bộ quá trình lưu lạc đến phương Đông của mình trong đó có đề cập đến những chuyến hàng đầy ắp sản vật trên Con đường tơ lụa. ","Marco Polo là một những người châu Âu đầu tiên đến Trung Quốc, đã làm quan ở đây 20 năm dưới triều Nguyên, sau đó ông trở về nước bằng Con đường tơ lụa.",ngoai_lai,
41,viwikifc_test_931,"Nhật Bản là một đại cường quốc và là thành viên của nhiều tổ chức quốc tế bao gồm Liên Hợp Quốc, OECD, G20 và G7. Theo điều 9 Hiến pháp Nhật Bản, quốc gia này đã từ bỏ quyền tuyên chiến nhưng Nhật Bản vẫn duy trì lực lượng phòng vệ và được đánh giá là một trong đất nước có quân đội mạnh nhất thế giới. Sau thế chiến 2, Nhật Bản có mức tăng trưởng kinh tế thần tốc và trở thành nền kinh tế lớn thứ hai thế giới vào năm 1972 trước khi trở nên trì trệ từ năm 1995, khoảng thời gian được gọi là thập niên mất mát. Kể từ năm 2021, nền kinh tế Nhật Bản lớn thứ ba theo GDP danh nghĩa và lớn thứ tư theo PPP. Quốc gia này được xếp hạng rất cao trong chỉ số phát triển con người và có tuổi thọ cao nhất thế giới mặc dù đang có dự suy giảm dân số. Nhật Bản hiện dẫn đầu trong các ngành công nghiệp ô tô, robot, điện tử và có đóng góp đáng kể cho khoa học và công nghệ. Văn hóa Nhật Bản như Origami, ẩm thực, văn hóa đại chúng, manga, anime, văn học, âm nhạc, trò chơi điện tử,... phổ biến trên toàn cầu.",Nhật Bản đã tập trung vào việc phát triển nền quân sự quốc phòng của mình.,ngoai_lai,
42,viwikifc_test_1855,"Một nhân tố mới nổi lên trong thế kỷ 20 là người Hoa sống ở hải ngoại. Nhờ nền tảng văn hóa mà người Trung Hoa rất thành công ngay cả khi sống ở nước ngoài. Ngay từ đầu thế kỷ 20, Quốc vương Thái Lan Rama VI đã gọi người Trung Quốc là ""dân Do Thái ở phương Đông"". Năm 2016, số người Trung Quốc sống ở nước ngoài (bao gồm cả những người đã đổi quốc tịch) là khoảng 60 triệu (chưa kể du học sinh) và sở hữu số tải sản ước tính hơn 2,5 ngàn tỉ USD, tức là họ có khả năng tạo ảnh hưởng tương đương 1 quốc gia như Pháp. Hoa kiều là tầng lớp thương nhân làm ăn rất thành công ở Đông Nam Á. Vào cuối thế kỷ 20, họ sở hữu hơn 80% cổ phiếu trên thị trường chứng khoán Thái Lan và Singapore, 62% ở Malaysia, 50% ở Philippines, tại Indonesia thì người Hoa nắm trên 70% tổng số tài sản công ty. Để hạn chế sức mạnh của người Hoa, chính phủ các nước Đông Nam Á dùng nhiều chính sách trấn áp hoặc đồng hóa, như ở Thái Lan thì người Hoa phải đổi tên thành tên Thái nếu muốn nhập quốc tịch, ở Indonesia thì người Hoa bị cấm dùng ngôn ngữ mẹ đẻ, trường công ở Malaysia thì hạn chế tiếp nhận sinh viên gốc Hoa. Nhưng trải qua bao sóng gió, trán áp và cưỡng chế đồng hóa, văn hóa người Hoa vẫn ""bền bỉ như măng tre"", như lời một lãnh đạo cộng đồng người Hoa ở hải ngoại. Cộng đồng Hoa Kiều vẫn gắn kết chặt chẽ với chính phủ trong nước, và là một bàn đạp quan trọng để Trung Quốc mở rộng ảnh hưởng trên thế giới vào đầu thế kỷ 21.",Cộng đồng người Hoa kiều thường xuyên tạo ra những doanh nghiệp gia đình hoặc các tập đoàn lớn trong lĩnh vực như bất động sản.,ngoai_lai,
43,viwikifc_train_15271,"Phật giáo Thượng tọa bộ có ảnh hưởng chi phối trong văn hóa Lào, được phản ánh trên khắp đất nước từ ngôn ngữ trong chùa và trong mỹ thuật, văn học, nghệ thuật trình diễn. Nhiều yếu tố trong văn hóa Lào có trước khi Phật giáo truyền đến, chẳng hạn như âm nhạc Lào do nhạc cụ dân tộc là khèn chi phối, nó có nguồn gốc từ thời tiền sử. Tiếng khèn theo truyền thống đi kèm với người hát theo phong cách dân gian lam. Trong các phong cách lam, lam saravane có lẽ được phổ biến nhất.",Tiếng khèn được UNESCO công nhận là di sản văn hóa phi vật thể của Lào và là một trong nhiều yếu tố văn hóa Lào có trước khi Phật giáo truyền đến.,ngoai_lai,
44,viwikifc_test_207,"Một nhân tố mới nổi lên trong thế kỷ 20 là người Hoa sống ở hải ngoại. Nhờ nền tảng văn hóa mà người Trung Hoa rất thành công ngay cả khi sống ở nước ngoài. Ngay từ đầu thế kỷ 20, Quốc vương Thái Lan Rama VI đã gọi người Trung Quốc là ""dân Do Thái ở phương Đông"". Năm 2016, số người Trung Quốc sống ở nước ngoài (bao gồm cả những người đã đổi quốc tịch) là khoảng 60 triệu (chưa kể du học sinh) và sở hữu số tải sản ước tính hơn 2,5 ngàn tỉ USD, tức là họ có khả năng tạo ảnh hưởng tương đương 1 quốc gia như Pháp. Hoa kiều là tầng lớp thương nhân làm ăn rất thành công ở Đông Nam Á. Vào cuối thế kỷ 20, họ sở hữu hơn 80% cổ phiếu trên thị trường chứng khoán Thái Lan và Singapore, 62% ở Malaysia, 50% ở Philippines, tại Indonesia thì người Hoa nắm trên 70% tổng số tài sản công ty. Để hạn chế sức mạnh của người Hoa, chính phủ các nước Đông Nam Á dùng nhiều chính sách trấn áp hoặc đồng hóa, như ở Thái Lan thì người Hoa phải đổi tên thành tên Thái nếu muốn nhập quốc tịch, ở Indonesia thì người Hoa bị cấm dùng ngôn ngữ mẹ đẻ, trường công ở Malaysia thì hạn chế tiếp nhận sinh viên gốc Hoa. Nhưng trải qua bao sóng gió, trán áp và cưỡng chế đồng hóa, văn hóa người Hoa vẫn ""bền bỉ như măng tre"", như lời một lãnh đạo cộng đồng người Hoa ở hải ngoại. Cộng đồng Hoa Kiều vẫn gắn kết chặt chẽ với chính phủ trong nước, và là một bàn đạp quan trọng để Trung Quốc mở rộng ảnh hưởng trên thế giới vào đầu thế kỷ 21.","Tuy nhiên, việc áp dụng các biện pháp này đã gây ra tranh cãi và có thể mang lại tác động tiêu cực đến quyền con người.",ngoai_lai,
45,viwikifc_train_664,"Nhà sử học văn hóa Đức Silvio Vietta đã mô tả sự phát triển và mở rộng tính hợp lý của phương Tây từ thời cổ đại trở đi thường được đi kèm và định hình bởi các hệ tư tưởng như "" chiến tranh chính nghĩa "", "" tôn giáo thực sự "", chủ nghĩa phân biệt chủng tộc, chủ nghĩa dân tộc hoặc tầm nhìn của lịch sử tương lai như một loại 'thiên đường trên mặt đất' trong chủ nghĩa cộng sản. Ông nói rằng những ý tưởng như thế này đã trở thành ý thức hệ bằng cách đưa ra những hành động chính trị bá quyền một veneer lý tưởng và trang bị cho các nhà lãnh đạo của họ một vị trí cao hơn và, trong "" tôn giáo chính trị "" (Eric Voegelin), gần như là sức mạnh của Chúa, để họ trở thành bậc thầy trong cuộc sống (và cái chết) của hàng triệu người. Do đó, ông cho rằng các hệ tư tưởng đã góp phần tạo nên sức mạnh phi lý cho những ý tưởng phi lý, bên dưới chúng có thể vận hành như những biểu hiện của chủ nghĩa duy tâm.",Hành động chính trị khiến cho hàng triệu người thiệt mạng.,noi_tai,
46,viwikifc_train_2977,"Trong khái niệm ngoại giao của Lý Quang Diệu, phát triển quan hệ ngoại giao với Mỹ, Nhật Bản là mấu chốt trong việc thực hiện ngoại giao cân bằng nước lớn của Singapore nhưng ông không mong muốn thế lực Mỹ bá quyền độc tài ở Đông Nam Á. Có sự cân bằng nước lớn mang tính định hướng. Lâu nay Singapore đều tự đặt mình vào thế trung lập. Trên thực tế, cân bằng nước lớn của Singapore mang tính chọn lọc và phân cấp, là cân bằng lấy Mỹ làm trung tâm. Bảo vệ an ninh quốc gia, phát triển kinh tế nhà nước là mục tiêu cuối cùng của Singapore. Có thể gạt bỏ được mối lo an ninh của Singapore, mang lại sự thịnh vượng về kinh tế chắc chắn là mục tiêu cao nhất trong hệ thống cân bằng nước lớn của Singapore. Singapore dựa vào đó để ràng buộc lợi ích của mình với lợi ích của Mỹ ở Đông Nam Á, từ đó mưu cầu tối đa hóa lợi ích. Tuy Singapore cũng từng dẫn dắt Liên Xô, Trung Quốc cân bằng sức ảnh hưởng của Mỹ, Nhật Bản, nhưng chỉ là để tránh lực lượng Mỹ quá mạnh khiến Singapore cảm thấy ""nghẹt thở"". Thực lực đang không ngừng lớn mạnh của Trung Quốc tại Biển Đông về khách quan đã tạo thành thách thức cho sự cân bằng nước lớn khu vực Đông Nam Á mà Mỹ chủ đạo, động chạm đến bố cục cân bằng mà Singapore lâu nay tạo dựng.",Singapore có quan hệ song phương vững chắc với các thành viên khác trong ASEAN.,ngoai_lai,
47,viwikifc_dev_1369,"Borneo hay Kalimantan, Bà La Châu là đảo lớn thứ ba thế giới và lớn nhất tại châu Á. Đảo thuộc Đông Nam Á hải đảo, nằm về phía bắc của đảo Java, phía tây đảo Sulawesi và phía đông đảo Sumatra. Về mặt chính trị, đảo bị phân chia giữa ba quốc gia: Malaysia và Brunei tại phần phía bắc, và Indonesia ở phía nam. Khoảng 73% diện tích đảo Borneo thuộc lãnh thổ Indonesia. Các bang Sabah và Sarawak của Malaysia chiếm 26% diện tích đảo. Hơn một nửa đảo Borneo nằm ở Bắc Bán cầu, bao gồm phần thuộc Malaysia và Brunei. Borneo có các khu rừng mưa cổ nhất trên thế giới.",Đảo bị phân chia giữa hai quốc gia là Lào và Indonesia về mặt chính trị.,ngoai_lai,
48,viwikifc_train_4564,"Các sân bay chính của Lào là sân bay quốc tế Wattay tại Viêng Chăn và sân bay quốc tế Luang Prabang, sân bay quốc tế Pakse cũng có một vài đường bay quốc tế. Hãng hàng không quốc gia của Lào là Lao Airlines. Các hãng hàng không khác có đường bay đến Lào là Bangkok Airways, Vietnam Airlines, AirAsia, Thai Airways International, China Eastern Airlines và Silk Air. Phần lớn nước Lào thiếu cơ sở hạ tầng đẩy đủ. Lào chỉ có một đoạn đường sắt ngắn nối Viêng Chăn với Thái Lan qua cầu Hữu nghị Thái-Lào. Các tuyến đường bộ liên kết các trung tâm đô thị lớn, đặc biệt là Đường 13, được nâng cấp trung thời gian qua, song các làng nằm xa các đường chính chỉ có thể tiếp cận bằng đường mòn. Tồn tại hạn chế về viễn thông, song điện thoại di động trở nên phổ biến tại các trung tâm đô thị. Trong nhiều khu vực nông thôn, ít nhất cũng có điện năng cục bộ. Xe Songthaew được sử dụng để vận chuyển đường dài và địa phương.","Viễn thông ở Lào còn hạn chế song điện thoại di động trở nên phổ biến tại các trung tâm đô thị như Viêng Chăng, Muang Xay.",ngoai_lai,
49,viwikifc_train_15030,"Trong tiếng Pháp cổ, nhiều phương ngữ đã xuất hiện nhưng phương ngữ Francien là tiếng nói không chỉ kế tục mà còn phát triển mạnh trong thời kỳ Trung cổ Pháp (thế kỷ XIV-XVII). Tiếng Pháp hiện đại phát triển từ phương ngữ Francien này. Về ngữ pháp, trong thời kỳ Trung cổ Pháp, biến cách danh từ giảm dần và tiêu biến rồi có thêm những quy tắc tiêu chuẩn hóa. Robert Estienne đã xuất bản cuốn từ điển Latinh-Pháp đầu tiên, bao gồm thông tin về ngữ âm, từ nguyên và ngữ pháp. Về chính trị, chiếu lệnh Villers-Cotterêts (1539) tuyên bố tiếng Pháp là ngôn ngữ của luật pháp.","Thông tin về ngữ âm, từ nguyên và ngữ pháp đều có trong cuốn từ điển Latinh-Pháp đầu tiên.",khong,
50,viwikifc_train_10524,"Tư tưởng này của ông không có gì mâu thuẫn với Luận cương về các vấn đề dân tộc thuộc địa của Lenin, khi phát động chủ nghĩa dân tộc là sách lược để đi đến chủ nghĩa cộng sản (đại đồng). Tuy nhiên, một số người trong Quốc tế Cộng sản không quan tâm tới quan điểm này của Nguyễn Ái Quốc, họ cho rằng đường lối của ông trái nghị quyết của Quốc tế cộng sản khi đó.",Đường lối của ông mang tính cấp tiến hơn rất nhiều so với quốc tế cộng sản.,ngoai_lai,
51,viwikifc_train_1156,"Từ đó, các quốc gia tôn sùng chủ nghĩa Hoa Hạ như Việt Nam cũng xưng Hoàng đế, bày tỏ vị vua của mình ngang hàng với Trung Quốc. Nhật Bản có xưng Thiên hoàng, nguyên ban đầu cũng là Hoàng đế. Riêng Triều Tiên, đặc biệt là thời họ Lý cầm quyền, chịu thần phục nhà Minh và nhà Thanh, nên họ chỉ xưng Vương mà không phải Hoàng đế, chỉ một thời gian ngắn Đế quốc Đại Hàn thành lập mà xưng Đế.",Đế quốc Đại Hàn là thời đại lớn trong lịch sử và khi thành lập họ đã sẵn sàng xưng Đế mà không ngần ngại.,ngoai_lai,
52,viwikifc_train_10030,"Từ năm 220 đến 263 SCN, vào thời kỳ Tam Quốc, những ""người nhỏ, ngăm đen"" sống tại miền nam Trung Quốc đã bị người Hán từ phương bắc tràn xuống dồn đuổi. Một số sau đó di cư đến Thái Lan ngày nay, một số khác di xa hơn, tới tận Indonesia ngày nay. Họ được gọi là người Aetas và người Negritos, đây chính là tổ tiên của bộ tộc Batak tại Palawan. Một số bộ tộc khác đã sống trên đảo từ trước đó, như người Palawano và người Tagbanua, họ được cho là đến từ thời kỳ băng hà qua những cầu nối giữa các lục địa và hải đảo.","Bộ tộc người Palawano và người Tagbanua đã sống trên đảo từ trước khi bộ tộc Patak đến, được cho là đến từ thời kỳ băng hà qua những cầu nối giữa các lục địa và hải đảo.",khong,
53,viwikifc_dev_578,"Vùng núi Shirakami (白神山地 Shirakami-Sanchi (?)) (Địa hạt của thần) nằm ở bắc Honshu. Các ngọn núi này trải dài vững chắc theo các khu rừng nguyên thủy từ huyện Akita đến Aomori. Tổng cộng 1. 300 km² trong đó 169,7 km² được vào danh sách UNESCO.",Núi chủ yếu sẽ mọc kế những khu rừng rậm rạp có lẽ đây là lý do mà nơi các khu rừng nguyên thủy từ huyện Akita đến Aomori ta vẫn thường thấy rõ các ngọn núi này mọc lên trải dài theo các khu rừng.,ngoai_lai,
54,viwikifc_train_14889,"Từ/âm Hán Việt cổ là những từ tiếng Hán được tiếng Việt thu nhận trước thời Đường thông qua giao tiếp bằng lời nói. Hầu hết từ/âm Hán Việt cổ bắt nguồn từ tiếng Hán thời nhà Hán. Phần lớn quãng thời gian từ cuối thời nhà Hán đến trước thời Đường, Giao Chỉ trong tình trạng độc lập hoặc quan lại địa phương cát cứ, việc tiếp xúc với tiếng Hán bị giảm thiểu so với trước. Cho đến trước thời Đường, ngay cả khi nhà Hán sụp đổ đã lâu người Việt ở Giao Chỉ vẫn đọc chữ Hán bằng âm Hán Việt cổ bắt nguồn từ tiếng Hán thời nhà Hán. Một số ví dụ về từ Hán Việt cổ:Tươi: âm Hán Việt cổ của chữ ""鮮"", âm Hán Việt là ""tiên""..",Có nhiều âm Hán Việt là phiên âm cho từ Hán Việt cổ:Tươi.,noi_tai,
55,viwikifc_test_985,"Nhật Bản đã tìm cách kiểm soát Đài Loan từ năm 1592 khi Hideyoshi Toyotomi bắt đầu mở rộng ảnh hưởng của Nhật Bản ra hải ngoại. Năm 1609, Mạc phủ Tokugawa đã cử Harunobu Arima thực hiện sứ mệnh thám hiểm. Năm 1616 Toan Murayama đã dẫn đầu một cuộc xâm lược hòn đảo, tuy nhiên điều này đã không thành công.",Toan Murayama đã dẫn đầu một cuộc xâm lược hòn đảo vào năm 1616 theo lệnh của Mạc phủ Tokugawa nhưng thất bại.,noi_tai,
56,viwikifc_train_9310,"Năm 1686: (năm Chính Hòa thứ 7) Đỗ Bá Công Đạo biên soạn Thiên Nam Tứ chí lộ đồ thư (天南四至路图書) trong Hồng Đức bản đồ hay Toản tập An Nam lộ trong sách Thiên hạ bản đồ. Tấm bản đồ xứ Quảng Nam trong Thiên Nam tứ chí lộ đồ thư được vẽ theo bút pháp đương thời (bản đồ khổ ngang), với lời chú rất rõ ràng: ""... 。海中有一長沙,名𪤄葛鐄,約長四百里,濶二十里,卓立海中,自大占海門至沙荣門。 ..."", (""… Hải trung hữu nhất trường sa, danh Bãi Cát Vàng, ước trường tứ bách lý, khoát nhị thập lý, trác lập hải trung, tự Đại Chiêm hải môn chí Sa Vinh môn。…""). Dịch nghĩa làː ""... Giữa biển có một dải cát dài gọi là Bãi Cát Vàng (Hoàng Sa) dài khoảng 400 dặm, rộng 20 dặm, dựng đứng giữa biển (án ngữ phía ngoài biển) từ cửa biển Đại Chiêm đến cửa Sa Vinh. … Họ Nguyễn mỗi năm và cuối mùa Đông đưa 18 chiếc thuyền đến đấy lấy hàng hoá, được phần nhiều là vàng bạc, tiền tệ, súng đạn…"". Còn bản đồ xứ Quảng Nam vẽ trong Toản tập An Nam lộ thì ghi chú rất rõ địa danh Bãi Cát Vàng (𪤄吉鐄) trên biển khơi phía trước của những địa danh trên đất liền như các cửa biển Đại Chiêm, Sa Kỳ, Mỹ Á, phủ Quảng Nghĩa và các huyện Bình Sơn, Chương Nghĩa, Mộ Hoa.",Nhờ có lời chú rõ ràng dưới tấm bản đồ của xứ Quảng Nam mà có thể dễ dàng chứng minh sự tồn tại của quần đảo Hoàng Sa là thuộc về Việt Nam.,ngoai_lai,
57,viwikifc_dev_157,"Để mở rộng ngành, các sòng bạc được hợp pháp hóa vào năm 2005, nhưng chỉ có hai giấy phép cho ""Khu nghỉ mát Tích hợp"" được ban hành, để kiểm soát việc rửa tiền và nghiện. Singapore cũng quảng bá chính nó như là một trung tâm du lịch y tế: khoảng 200.000 người nước ngoài tìm kiếm sự chăm sóc y tế ở đó mỗi năm. Các dịch vụ y tế của Singapore nhằm phục vụ ít nhất một triệu bệnh nhân nước ngoài hàng năm và tạo ra doanh thu 3 tỷ đô la. Vào năm 2015, Lonely Planet và The New York Times liệt kê Singapore là điểm đến tốt thứ 6 trên thế giới để tham quan.",Trước Singapore thì Việt Nam là điểm đến tốt thứ 5.,ngoai_lai,
58,viwikifc_train_11145,"1919: Hiệp ước Versailles trừng phạt Đức và đem lại lợi ích cho các nước thắng trận. Cách mạng Đức lật đổ chế độ quân chủ, thiết lập chế độ cộng hoà Weimar. Estonia giành độc lập. Hội Quốc Liên được thành lập. Chiến tranh Nga-Ba Lan 1919. Bắt đầu Chiến tranh giành độc lập Thổ Nhĩ Kỳ. Đảng phát xít Italia được thành lập. Quốc tế cộng sản được thành lập. Tổ chức Lao động Quốc tế được thành lập. Ernest Rutherford phát hiện ra proton.","Chế độ quân chủ là một hệ thống chính trị trong đó quyền lực tập trung vào tay một vị vua, hoàng đế hoặc quý tộc. ",ngoai_lai,
59,viwikifc_train_15361,"Singapore là một hòn đảo có hình dạng một viên kim cương được nhiều đảo nhỏ khác bao quanh. Có hai con đường nối giữa Singapore và bang Johor của Malaysia — một con đường nhân tạo có tên Đường đắp cao Johor-Singapore ở phía bắc, băng qua eo biển Tebrau và liên kết thứ hai Tuas, một cầu phía tây nối với Juhor. Singapore có tổng cộng 63 hòn đảo lớn nhỏ. Trong đó, Đảo Jurong, Pulau Tekong, Pulau Ubin và Sentosa là những đảo lớn nhất của Singapore, ngoài ra còn có nhiều đảo nhỏ khác. Vị trí cao nhất của Singapore là đồi Bukit Timah với độ cao 166 m.",Singapore là nước sử dụng tiếng Pháp nhiều nhất.,ngoai_lai,
